,Date,Type,Country,Area,Location,Activity,Sex,Age,Fatal (Y/N),Time,Species,original order,Address
893,2010-04-19,Unprovoked,USA,Hawaii,"Hanalei Bay, Kauai",Surfing,M,68,N,16h00,Other,5203,"Hanalei Bay, Kauai, Hawaii, USA"
894,2010-04-13,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"East Beach, Port Alfred",Surfing,M,35,N,10h00,Other,5202,"East Beach, Port Alfred, Eastern Cape Province, SOUTH AFRICA"
895,2010-04-04,Unprovoked,EGYPT,Sinai Peninsula,Sharm el-Sheikh,Swimming / treading water,M,24,N,14h00,Great White,5201,"Sharm el-Sheikh, Sinai Peninsula, EGYPT"
896,2010-03-27,Unprovoked,REUNION,Saint-Benoit,Bittern,Surfing,M,34,N,11h00,Other,5200,"Bittern, Saint-Benoit, REUNION"
897,2010-02-19,Unprovoked,NEW ZEALAND,South Island,Tahunanui Beach,Swimming,M,Unknown,N,Unknown,Other,5199,"Tahunanui Beach, South Island, NEW ZEALAND"
898,2010-02-16,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Yellow Sands Point,Surfing,M,Unknown,N,11h00,Other,5198,"Yellow Sands Point, Eastern Cape Province, SOUTH AFRICA"
899,2010-02-15,Unprovoked,FIJI,Off Vanua Levu,Nara Reef,Scuba diving,M,19,Y,09h30,Other,5197,"Nara Reef, Off Vanua Levu, FIJI"
900,2010-02-13,Unprovoked,AUSTRALIA,Queensland,"Dent Island, Whitsundays",Snorkeling,F,60,N,13h30,Other,5196,"Dent Island, Whitsundays, Queensland, AUSTRALIA"
901,2010-02-11,Unprovoked,AUSTRALIA,New South Wales,"Mona Vale Beach, Sydney",Surfing,M,46,N,08h00,Other,5195,"Mona Vale Beach, Sydney, New South Wales, AUSTRALIA"
902,2010-02-06,Provoked,NEW ZEALAND,South Island,Cosy Nook,Spearfishing,M,Unknown,N,Unknown,Other,5194,"Cosy Nook, South Island, NEW ZEALAND"
903,2010-02-06,Unprovoked,AUSTRALIA,New South Wales,Turners' Beach,Body boarding,M,18,N,15h30,Great White,5193,"Turners' Beach, New South Wales, AUSTRALIA"
904,2010-02-06,Provoked,USA,Florida,Riviera Beach,Surf fishing / wading,M,Unknown,N,15h00,Other,5192,"Riviera Beach, Florida, USA"
905,2010-02-04,Invalid,GUAM,Merizo,Achang Reef,Spearfishing (free diving),M,31,Y,11h00,Other,5191,"Achang Reef, Merizo, GUAM"
906,2010-02-03,Unprovoked,USA,Florida,"Stuart, Martin County",Kite Boarding,M,38,Y,15h44,Other,5190,"Stuart, Martin County, Florida, USA"
907,2010-02-01,Provoked,NEW ZEALAND,South Island,Oreti Beach,Boogie Boarding,F,14,N,18h30,Other,5189,"Oreti Beach, South Island, NEW ZEALAND"
908,2010-01-31,Unprovoked,BRAZIL,Rio Grande Do Sul,"Atlantis Beach, near Tramandai",Surfing,M,29,N,Unknown,Other,5188,"Atlantis Beach, near Tramandai, Rio Grande Do Sul, BRAZIL"
909,2010-01-27,Unprovoked,AUSTRALIA,Queensland,Archie's Beach,Surfing,M,Unknown,N,16h30,Other,5187,"Archie's Beach, Queensland, AUSTRALIA"
910,2010-01-22,Unprovoked,UNITED ARAB EMIRATES (UAE),Dubai,"Umm Suqeim Beach, Dubai",Surfing,M,54,N,Unknown,Other,5186,"Umm Suqeim Beach, Dubai, Dubai, UNITED ARAB EMIRATES (UAE)"
911,2010-01-22,Unprovoked,AUSTRALIA,Victoria,Geelong,Surfing,M,Unknown,N,07h30,Other,5185,"Geelong, Victoria, AUSTRALIA"
912,2010-01-12,Unprovoked,SOUTH AFRICA,Western Province,Fish Hoek,Standing,M,37,Y,15h15,Great White,5184,"Fish Hoek, Western Province, SOUTH AFRICA"
913,2010-01-09,Unprovoked,AUSTRALIA,Torres Strait,Thursday Island,Snorkeling,F,9,N,Unknown,Great White,5183,"Thursday Island, Torres Strait, AUSTRALIA"
914,2010-01-09,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon,Unknown,F,Unknown,N,Unknown,Other,5182,"Quy Nhon, Binh Dinh Province, VIETNAM"
915,2010-01-09,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon,Unknown,M,Unknown,N,17h00,Other,5181,"Quy Nhon, Binh Dinh Province, VIETNAM"
