,Date,Type,Country,Area,Location,Activity,Sex,Age,Fatal (Y/N),Time,Species,original order
186,2015-12-21,Unprovoked,AUSTRALIA,New South Wales,Bondi Beach,Surfing,M,43,N,07h00,"Bronze whaler shark, 6'",5909
187,2015-12-21,Unprovoked,BRAZIL,Pernambuco,Fernano de Noronha,Scuba diving,M,32,N,Unknown,"Tiger shark, 1.5 m ",5908
188,2015-12-19,Unprovoked,ARUBA,Other,Boat capsized,Sea disaster,M,58,Y,Unknown,Other,5907
189,2015-12-13,Boat,AUSTRALIA,New South Wales,Lake Macquarie,Fishing,Unknown,-1,N,10h30,"White shark, 3.5 m",5906
190,2015-12-11,Unprovoked,BAHAMAS,Other,Off Andros Island,Lobster fishing,M,26,N,Unknown,Bull shark,5905
191,2015-12-08,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Mpande,Swimming / Wading,F,22,N,Unknown,Other,5904
192,2015-11-20,Unprovoked,ECUADOR,Galapagos Islands,"Punta Vicente Roca, Isabella Island",Snorkeling,M,55,N,10h15,Galapagos shark,5903
193,2015-11-15,Unprovoked,USA,Florida,"Palm Beach, Palm Beach County",Swimming,F,-1,N,11h00,Other,5902
194,2015-11-15,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Surfing,M,28,N,Unknown,"Spinner shark, 7'",5901
195,2015-11-10,Unprovoked,AUSTRALIA,New South Wales,East Ballina,Surfing,M,20,N,18h15,"Bull shark, 2.8 to 3.1 m",5900
196,2015-11-07,Invalid,USA,Florida,"Paradise Beach, Melbourne, Brevard County",Surfing,F,9,N,11h00,Shark involvement not confirmed,5899
197,2015-11-03,Unprovoked,USA,Hawaii,"Kehena Beach, Hawaii",Swimming,M,54,N,11h00,Other,5898
198,2015-11-01,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Wading,F,28,N,14h00,3' to 5' shark,5897
199,2015-11-01,Unprovoked,MOZAMBIQUE,Inhambane Province,Maxixe,Fishing,M,19,N,04h00,Other,5896
200,2015-10-30,Unprovoked,AUSTRALIA,Western Australia,Bald Island,Spearfishing,M,50,N,Unknown,Other,5895
